hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,total_stay_nights,total_guests,total_previous_bookings,estimated_revenue,arrival_month_num,arrival_day,arrival_weekday
Resort Hotel,0,203,2016,December,49,2,2,5,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,4,No Deposit,250.0,0.0,0,Transient,66.8,0,0,Check-Out,09-12-2016,2016-12-02,7,2,0,467.59999999999997,12,2,4
City Hotel,1,82,2015,July,29,16,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,76.5,0,0,Canceled,16-07-2015,2015-07-16,3,2,0,229.5,7,16,3
City Hotel,0,25,2016,December,53,27,0,3,3,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,K,2,No Deposit,220.0,0.0,0,Transient-Party,60.0,0,1,Check-Out,30-12-2016,2016-12-27,3,3,0,180.0,12,27,1
City Hotel,0,1,2016,March,11,9,0,1,1,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient-Party,95.0,0,0,Check-Out,10-03-2016,2016-03-09,1,1,0,95.0,3,9,2
City Hotel,0,70,2017,April,16,16,2,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,108.0,0,0,Check-Out,20-04-2017,2017-04-16,4,2,0,432.0,4,16,6
City Hotel,0,170,2017,April,17,27,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0.0,0,Transient,130.5,0,0,Check-Out,30-04-2017,2017-04-27,3,2,0,391.5,4,27,3
City Hotel,1,21,2016,March,10,4,0,1,1,0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient-Party,85.0,0,0,Canceled,26-02-2016,2016-03-04,1,1,0,85.0,3,4,4
City Hotel,0,102,2015,October,42,16,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,0.0,0,Transient-Party,109.0,0,0,Check-Out,18-10-2015,2015-10-16,2,2,0,218.0,10,16,4
Resort Hotel,0,55,2016,November,47,19,2,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,314.0,0.0,0,Transient,67.44,0,0,Check-Out,26-11-2016,2016-11-19,7,2,0,472.08,11,19,5
Resort Hotel,0,222,2015,September,38,14,1,1,2,0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68.0,0.0,0,Transient,80.0,0,0,Check-Out,16-09-2015,2015-09-14,2,2,0,160.0,9,14,0
Resort Hotel,0,120,2016,December,53,26,1,3,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient-Party,54.8,1,3,Check-Out,30-12-2016,2016-12-26,4,2,0,219.2,12,26,0
City Hotel,1,88,2017,February,7,17,0,2,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,79.2,0,0,Canceled,25-11-2016,2017-02-17,2,2,0,158.4,2,17,4
